market,group,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
ASX200,Developed,BuyHold,-,-1,11742.552919548089,0.5893021833020733,0.8088298523165469,-0.1417167334064669,0.0674446439590814,0.4759116466872208
ASX200,Developed,Q-Learning,Baseline,0,10087.4292646638,0.2578081211528761,0.1379622894510222,-0.0142529283668773,0.0035103673366536,0.2462909548163573
ASX200,Developed,Q-Learning,Baseline,1,9825.515225889532,-0.2814493010872282,-0.1210329747905663,-0.0436818487281367,-0.0070609425086507,-0.1616447726934448
ASX200,Developed,Q-Learning,Baseline,2,10107.559901273762,0.2278737427605105,0.1290709124601718,-0.0251036120320219,0.004316054376604,0.1719296159822196
ASX200,Developed,Q-Learning,Baseline,3,10278.325713244709,0.6025635855848953,0.5862265042429096,-0.0136831796988501,0.0111123684911966,0.8121188740449222
ASX200,Developed,Q-Learning,Baseline,4,10095.771099218142,0.2252850562890431,0.1501360636291212,-0.0219747136505685,0.0038443484371721,0.1749441880394092
ASX200,Developed,Q-Learning,+RetFore,0,9576.655284450757,-0.5415708877650227,-0.2925094156854634,-0.069454463465337,-0.0172625048751237,-0.2485442117552379
ASX200,Developed,Q-Learning,+RetFore,1,8866.337939375751,-1.4020675138517749,-0.6766933003326775,-0.1191516171850042,-0.0472824812086637,-0.3968261810064433
ASX200,Developed,Q-Learning,+RetFore,2,9474.319970650502,-0.7728253366389141,-0.3708731909302724,-0.0738338296726867,-0.0215034966851044,-0.2912417895718058
ASX200,Developed,Q-Learning,+RetFore,3,9752.83412525826,-0.3893060492138003,-0.2113710021757473,-0.0530010919804835,-0.0100242543463596,-0.1891329776726438
ASX200,Developed,Q-Learning,+RetFore,4,9766.55169769068,-0.2575311604353209,-0.1508905306237477,-0.0681698295499308,-0.0094639618428552,-0.1388291844823311
ASX200,Developed,Q-Learning,+VolFore,0,10214.516737696931,0.316526610663843,0.2246818749243806,-0.027603989130026,0.0085807844591665,0.3108530588979982
ASX200,Developed,Q-Learning,+VolFore,1,10047.702075947473,0.0725017623420875,0.040944750267899,-0.052051279376858,0.0019175458634479,0.0368395529632965
ASX200,Developed,Q-Learning,+VolFore,2,10460.466300404754,0.7176674292170137,0.750708220930127,-0.0181210639390638,0.018287443682218,1.0091815658674623
ASX200,Developed,Q-Learning,+VolFore,3,10449.025495041353,0.587676946089057,0.4414979654863182,-0.0289291688166321,0.0178389626293735,0.6166427643265315
ASX200,Developed,Q-Learning,+VolFore,4,10111.816435892124,0.1520950228190928,0.1194422462491078,-0.0451652648354358,0.0044862905441895,0.0993305488285412
ASX200,Developed,SARSA,Baseline,0,9989.0892318997,-0.0167005662083749,-0.0069338991295927,-0.0276117800256071,-0.0004393626561748,-0.0159121453144802
ASX200,Developed,SARSA,Baseline,1,9606.524873668484,-0.9716435560980816,-0.2613966368915756,-0.0478600288216315,-0.016029754983033,-0.3349299065915534
ASX200,Developed,SARSA,Baseline,2,9698.621625381982,-0.3310889274713597,-0.1019019959185003,-0.0623250366353835,-0.012243176366351,-0.1964407407857643
ASX200,Developed,SARSA,Baseline,3,10000.684615756552,0.0138540904692155,0.0089175787837776,-0.0272628235068696,2.7559048324521385e-05,0.001010865522295
ASX200,Developed,SARSA,Baseline,4,10105.331340607989,0.3041976251991599,0.1296144439288013,-0.0068160578678131,0.0042269080696586,0.6201396981969375
ASX200,Developed,SARSA,+RetFore,0,9615.400195678876,-0.5683481952191115,-0.3540378478600715,-0.0583454402491924,-0.0156639023674209,-0.2684683207505547
