market,group,window,span,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar,Turnover,Skew,Kurt,N
SP500,Developed,0,2020-01-13..2021-09-03,BuyHold,-,-1,13772.590062995756,0.835818118886006,0.9242725016616266,-0.3392496000265327,0.2139795916274876,0.6307438287624259,1.001506791422868,-0.6472298657811502,15.097508538327528,415
SP500,Developed,0,2020-01-13..2021-09-03,VolTarget,-,-1,13182.070185009958,0.9956202369115732,1.2077116992672512,-0.1876475797342772,0.1821766715487998,0.9708447708507858,33.75903384862149,-0.962840643588684,5.562997813901939,415
SP500,Developed,0,2020-01-13..2021-09-03,Const1.5x,-,-1,15301.51669731966,0.8286339904230938,0.9160044568870892,-0.476820541186419,0.2939171350553526,0.6164103885361466,4.821639048689809,-0.6508070320744483,15.102075647409956,415
SP500,Developed,0,2020-01-13..2021-09-03,Q-Learning,Baseline,0,9976.821470308234,0.1118907632059683,0.1043016453491117,-0.3463841445745357,-0.0014047262063596,-0.0040553998453972,173.7802848553978,-1.67028792490141,25.162501560908893,415
SP500,Developed,0,2020-01-13..2021-09-03,Q-Learning,Baseline,1,8973.56230107643,-0.1404941808385842,-0.1381793554944883,-0.3700356808165304,-0.0635004501397569,-0.1716062894244781,193.63178820598145,-1.807326436587008,23.09502084352436,415
SP500,Developed,0,2020-01-13..2021-09-03,Q-Learning,Baseline,2,8718.417127567862,-0.0078136465472137,-0.0077010335785583,-0.4466554679679899,-0.0797221752786573,-0.1784869569405836,178.88323275501023,-0.8970690001398098,30.363545633148483,415
SP500,Developed,0,2020-01-13..2021-09-03,Q-Learning,+VolFore,0,8878.06603760273,-0.3768120479447777,-0.3499991305596693,-0.2303725279520042,-0.0695503873515194,-0.3019039985779365,175.97067957955755,-1.715284388470421,20.23941503480444,415
SP500,Developed,0,2020-01-13..2021-09-03,Q-Learning,+VolFore,1,8784.365429104477,-0.3820817514701987,-0.3756002277163965,-0.1868261059900055,-0.0755115520818486,-0.4041809450628064,177.22971165006425,-1.960044380377195,20.22279177118813,415
SP500,Developed,0,2020-01-13..2021-09-03,Q-Learning,+VolFore,2,7930.53365681942,-0.2308265606961785,-0.2330877611323063,-0.4416352880457152,-0.1310385704162852,-0.2967121830228933,201.79114134260465,-0.8604736271391721,28.39457044563485,415
SP500,Developed,0,2020-01-13..2021-09-03,PPO,Baseline,0,16033.02711008467,0.8341431601783843,0.9243374660584726,-0.533946695612193,0.3310430375007045,0.6199926700932747,7.812951423275133,-0.6298550372118558,15.025249622773469,415
SP500,Developed,0,2020-01-13..2021-09-03,PPO,Baseline,1,14820.48968967751,0.7815147528898959,0.8617211541228469,-0.4605034270358712,0.2691217225493132,0.5844076433502098,10.18042693884391,-0.3412019076776355,17.04539060177075,415
SP500,Developed,0,2020-01-13..2021-09-03,PPO,Baseline,2,14444.84859981422,0.719208066118144,0.7718913261611455,-0.5282745134825857,0.249537279484322,0.4723628967803224,7.209214509716826,-0.7325941614235285,18.13539528237539,415
SP500,Developed,0,2020-01-13..2021-09-03,PPO,+VolFore,0,15285.99288281818,0.8205844335418995,0.9079855329138564,-0.4798066943358389,0.2931217736366447,0.6109163900720075,7.115283026685068,-0.6084146375574182,14.64662353435195,415
SP500,Developed,0,2020-01-13..2021-09-03,PPO,+VolFore,1,15403.97268219116,0.799691589295427,0.8854579588661697,-0.4996258625890721,0.2991585039200342,0.5987650486489821,9.919930706426344,-0.2869925943072638,17.13415965171713,415
SP500,Developed,0,2020-01-13..2021-09-03,PPO,+VolFore,2,15258.226234306923,0.7566331559682625,0.8087183475491939,-0.56758475487729,0.2916983569611509,0.5139291611588497,27.957136255449623,-0.6143249286205847,18.68965472795649,415
SP500,Developed,1,2021-09-07..2023-05-02,BuyHold,-,-1,9100.345366070767,-0.1676536833225043,-0.2572447813676394,-0.254250966192304,-0.0555074858953802,-0.2183176989509592,1.0015065100369096,-0.0402949076058238,3.811941745846113,415
SP500,Developed,1,2021-09-07..2023-05-02,VolTarget,-,-1,8783.378645839462,-0.3358784172672618,-0.5036795048748877,-0.2418101131879392,-0.0755744635321746,-0.3125364052624394,38.346855704792816,-0.2042871550121437,3.803668942385955,415
SP500,Developed,1,2021-09-07..2023-05-02,Const1.5x,-,-1,8407.573016455746,-0.1767840424397021,-0.2712550989056521,-0.3686248280617139,-0.0997403274814165,-0.2705740902087252,4.66004439778996,-0.0404629826207166,3.811957108800821,415
