market,group,arm,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
ASX200,Developed,A,VTrule,-,-1,11289.909762989078,0.4607752219611105,0.6245660847285084,-0.1417167334064668,0.0500521305005894,0.3531843367901978
ASX200,Developed,A,Q-Learning,Baseline,0,10151.869978266166,0.1660952156116674,0.1031429896656723,-0.0577055554986119,0.0060861022566511,0.105468220589127
ASX200,Developed,A,Q-Learning,Baseline,1,9001.394886309326,-0.6137294444668812,-0.5710095609833613,-0.1700307871817226,-0.041466831082808,-0.2438783691464413
ASX200,Developed,A,Q-Learning,Baseline,2,9770.811233607106,-0.1475922545357834,-0.1313695872829502,-0.0759509235824532,-0.0092900773120065,-0.1223168445318358
ASX200,Developed,A,Q-Learning,Baseline,3,10266.782213377564,0.2257191143056878,0.1920614246843289,-0.0570472976836681,0.0106550839480488,0.1867763133487117
ASX200,Developed,A,Q-Learning,Baseline,4,10205.086608988891,0.1685544033844622,0.1315304163013448,-0.068901133358763,0.0082058490076839,0.1190959946164835
ASX200,Developed,A,Q-Learning,+RetFore,0,9557.821626498848,-0.2749365200976532,-0.2992745978296711,-0.0698884924914487,-0.0180409713001536,-0.2581393682529778
ASX200,Developed,A,Q-Learning,+RetFore,1,8349.34327269073,-1.6082417029625382,-1.559634823991909,-0.1650656727309269,-0.0700476909898644,-0.4243625572206316
ASX200,Developed,A,Q-Learning,+RetFore,2,9329.354138127275,-0.525645539071492,-0.4721041554777319,-0.0978566827930378,-0.0275582976236615,-0.2816189639461254
ASX200,Developed,A,Q-Learning,+RetFore,3,9770.606141781624,-0.2050816906445204,-0.2190114893593377,-0.0613732037497576,-0.0092984486171192,-0.1515066519075839
ASX200,Developed,A,Q-Learning,+RetFore,4,9302.62943927324,-0.6868285834023848,-0.6923827310787368,-0.0864803736787269,-0.0286806340637861,-0.3316432716861585
ASX200,Developed,A,Q-Learning,+VolFore,0,10801.303715635127,0.7395088556987569,0.956222367466014,-0.0359376395307662,0.0315161532395251,0.876967815642628
ASX200,Developed,A,Q-Learning,+VolFore,1,9786.13185838146,-0.2029667603946926,-0.2243769828222691,-0.0410244140360193,-0.0086650265718268,-0.2112163397143902
ASX200,Developed,A,Q-Learning,+VolFore,2,10008.904182744174,0.0316348603556731,0.024881285149819,-0.0621808899817021,0.0003583478429818,0.0057629899327835
ASX200,Developed,A,Q-Learning,+VolFore,3,9778.106466169178,-0.2158454454746997,-0.2032208319282702,-0.0636278355827838,-0.0089923734952021,-0.1413276659923647
ASX200,Developed,A,Q-Learning,+VolFore,4,9961.165661178871,-0.0119870873159418,-0.0137085853375877,-0.0607496411393048,-0.0015651165544253,-0.0257633876521285
ASX200,Developed,A,PPO,Baseline,0,11525.788125220432,0.6124133094494951,0.8489581705979397,-0.1184560088979513,0.0588291213520659,0.4966326478401787
ASX200,Developed,A,PPO,Baseline,1,11220.875200595838,0.5437182007663565,0.6834794787358798,-0.108677921689507,0.0474626757849272,0.4367278564646408
ASX200,Developed,A,PPO,Baseline,2,11307.469289965138,0.5184451748565403,0.675563518081663,-0.1276650583292056,0.0507092702713094,0.3972055543980557
ASX200,Developed,A,PPO,Baseline,3,11361.866072656838,0.5834917480832309,0.764509462570023,-0.1180523791233376,0.0527411294649702,0.4467604114053567
ASX200,Developed,A,PPO,Baseline,4,11280.02699033812,0.5681243276367328,0.7785324488271822,-0.1130482770736844,0.0496820135256801,0.4394760788159388
ASX200,Developed,A,PPO,+RetFore,0,11371.477440581748,0.5960743571919163,0.8228271388378888,-0.1167257041315016,0.0530995341061097,0.4549086638692165
ASX200,Developed,A,PPO,+RetFore,1,11035.915569655,0.48457662130982,0.6080756729919607,-0.1121193733476286,0.0404776650555527,0.36102293338449
ASX200,Developed,A,PPO,+RetFore,2,11292.582828126368,0.6017703616355287,0.7885397539496867,-0.1022055414241418,0.0501522054606362,0.4906994744249668
ASX200,Developed,A,PPO,+RetFore,3,11388.18260261113,0.5796779592727344,0.7711018422743018,-0.1168278305587405,0.0537220335246431,0.4598393487857506
ASX200,Developed,A,PPO,+RetFore,4,11412.750546365678,0.576702298831251,0.7693753121496044,-0.1219432492114214,0.054636540475444,0.4480489147887873
ASX200,Developed,A,PPO,+VolFore,0,11407.248081255731,0.601866818631064,0.8205531073608386,-0.1142204885243639,0.0544318212852341,0.4765504156738653
ASX200,Developed,A,PPO,+VolFore,1,11050.150480425196,0.4860120531273133,0.6129486648808808,-0.1156012859663214,0.0410177201819137,0.35482062192205
ASX200,Developed,A,PPO,+VolFore,2,11200.997781339538,0.5589410057871536,0.725416972184175,-0.1096937874582391,0.0467153189603402,0.4258702342436579
ASX200,Developed,A,PPO,+VolFore,3,11250.010039935474,0.5258300387582383,0.6989531027139719,-0.1175682233485564,0.0485566677784525,0.4130084336996641
ASX200,Developed,A,PPO,+VolFore,4,11360.491937089308,0.5902102248476574,0.7654397880198704,-0.1117612639667937,0.0526898736191754,0.4714502301473529
ASX200,Developed,B,VTrule,-,-1,11289.909762989078,0.4607752219611105,0.6245660847285084,-0.1417167334064668,0.0500521305005894,0.3531843367901978
ASX200,Developed,B,Q-Learning,Baseline,0,9974.00189697002,0.0458960842095109,0.061396323839021,-0.136569212699243,-0.0010473829179477,-0.0076692462176421
ASX200,Developed,B,Q-Learning,Baseline,1,9464.360957530596,-0.1596579094672174,-0.2140453080632346,-0.147765935085489,-0.0219176776805546,-0.1483269988291008
ASX200,Developed,B,Q-Learning,Baseline,2,10062.620114115069,0.0779915071794222,0.1033050090429852,-0.1401777493021168,0.0025161099363031,0.0179494245613999
ASX200,Developed,B,Q-Learning,Baseline,3,10148.568090367453,0.1090822905150986,0.1477882656892488,-0.1323446652465435,0.0059543615962731,0.0449913231117843
ASX200,Developed,B,Q-Learning,Baseline,4,10218.66093280308,0.1347864659484999,0.1903871624293465,-0.1429594438836758,0.0087454894046599,0.0611746182484791
ASX200,Developed,B,Q-Learning,+VolFore,0,9804.472102756596,-0.0141654190083449,-0.019062992323275,-0.1395742630093822,-0.0079175497489718,-0.0567264306341556
ASX200,Developed,B,Q-Learning,+VolFore,1,9986.2299703565,0.0502817394300424,0.0680965968185596,-0.1329049342908995,-0.0005545488643731,-0.0041725227684561
ASX200,Developed,B,Q-Learning,+VolFore,2,10012.76642107986,0.0561073173450343,0.0768204984137914,-0.1289820999570392,0.0005137239702874,0.0039829090273348
ASX200,Developed,B,Q-Learning,+VolFore,3,9899.13755898127,0.0154704929334335,0.0210941542629257,-0.1439726375605923,-0.0040725768630248,-0.0282871588101773
ASX200,Developed,B,Q-Learning,+VolFore,4,10258.350497842912,0.150834907823911,0.2128980647006102,-0.1126562924215002,0.0103208755585042,0.0916138400844702
ASX200,Developed,B,PPO,Baseline,0,11601.513526851872,0.5463505073877634,0.7476579506222586,-0.1417167334064669,0.0616240634625757,0.434839711450256
ASX200,Developed,B,PPO,Baseline,1,11540.179566800634,0.5294300136635215,0.72384623150931,-0.1417167334064669,0.0593611363072816,0.4188717512744617
ASX200,Developed,B,PPO,Baseline,2,11504.118085174616,0.5217366090828502,0.7088936034926139,-0.1417167334064668,0.0580272858907717,0.4094596629173672
ASX200,Developed,B,PPO,Baseline,3,11566.91976407355,0.5368757657486604,0.7342214042171334,-0.1417167334064667,0.0603486018287775,0.4258396335968459
